iter	Passed	Remaining
852	2921	503
853	2925	500
854	2927	496
855	2931	493
856	2935	489
857	2937	486
858	2941	482
859	2944	479
860	2947	475
861	2950	472
862	2953	468
863	2957	465
864	2960	461
865	2963	458
866	2966	455
867	2970	451
868	2973	448
869	2976	444
870	2979	441
871	2982	437
872	2986	434
873	2989	430
874	2992	427
875	2995	424
876	2998	420
877	3001	417
878	3005	413
879	3007	410
880	3010	406
881	3013	403
882	3017	399
883	3019	396
884	3022	392
885	3025	389
886	3028	385
887	3032	382
888	3035	379
889	3038	375
890	3041	372
891	3044	368
892	3047	365
893	3051	361
894	3054	358
895	3057	354
896	3060	351
897	3063	347
898	3067	344
899	3069	341
900	3072	337
901	3075	334
902	3078	330
903	3082	327
904	3085	323
905	3088	320
906	3091	316
907	3094	313
908	3097	310
909	3100	306
910	3103	303
911	3106	299
912	3109	296
913	3112	292
914	3115	289
915	3118	285
916	3121	282
917	3124	279
918	3127	275
919	3132	272
920	3135	268
921	3138	265
922	3141	262
923	3145	258
924	3148	255
925	3151	251
926	3154	248
927	3157	244
928	3160	241
929	3164	238
930	3167	234
931	3170	231
932	3173	227
933	3176	224
934	3179	221
935	3182	217
936	3185	214
937	3189	210
938	3192	207
939	3195	203
940	3198	200
941	3202	197
942	3205	193
943	3208	190
944	3211	186
945	3215	183
946	3218	180
947	3221	176
948	3224	173
949	3227	169
950	3231	166
951	3234	163
952	3237	159
953	3240	156
954	3243	152
955	3246	149
956	3249	146
957	3253	142
958	3256	139
959	3259	135
960	3262	132
961	3265	128
962	3268	125
963	3271	122
964	3274	118
965	3277	115
966	3280	111
967	3283	108
968	3286	105
969	3288	101
970	3292	98
971	3295	94
972	3298	91
973	3301	88
974	3304	84
975	3307	81
976	3310	77
977	3313	74
978	3316	71
979	3319	67
980	3322	64
981	3326	60
982	3329	57
983	3332	54
984	3336	50
985	3339	47
986	3342	44
987	3346	40
988	3348	37
989	3351	33
990	3354	30
991	3358	27
992	3361	23
993	3364	20
994	3367	16
995	3370	13
996	3374	10
997	3378	6
998	3380	3
999	3383	0
